Start Server !!!
Open file : /dev/ttyACM0
wait
Serial port open
Création of reading thread
Création of execution thread
Start the thread read
Création of writing thread
Start the thread exec
Start the thread write
Serial read : 7.116.203.94
Serial read : 7.35.203.94
Serial read : 7.118.203.94
Serial read : 7.37.203.94
Serial read : 7.120.203.94
Serial read : 7.122.203.94
Serial read : 7.39.203.94
Serial read : 7.124.203.94
Serial read : 7.41.203.94
Serial read : 7.126.203.94
Serial read : 7.43.203.94
Serial read : 7.128.203.94
Serial read : 7.45.203.94
Serial read : 7.47.203.94
Serial read : 7.130.203.94
Serial read : 7.132.203.94
Serial read : 7.49.203.94
Serial read : 7.51.203.94
Serial read : 7.53.203.94
Serial read : 7.134.203.94
Serial read : 7.55.203.94
Serial read : 7.136.203.94
Serial read : 7.138.203.94
Serial read : 7.57.203.94
Serial read : 7.140.203.94
Serial read : 7.59.203.94
Serial read : 7.142.203.94
Serial read : 7.61.203.94
Serial read : 7.144.203.94
Serial read : 7.63.203.94
Serial read : 7.65.203.94
Serial read : 7.146.203.94
Serial read : 7.67.203.94
Serial read : 7.148.203.94
Serial read : 7.69.203.94
Serial read : 7.150.203.94
Serial read : 7.71.203.94
Serial read : 7.73.203.94
Serial read : 7.75.203.94
Serial read : 7.152.203.94
Serial read : 7.77.203.94
Serial read : 7.154.203.94
Serial read : 7.156.203.94
Serial read : 7.158.203.94
Serial read : 7.79.203.94
Serial read : 7.81.203.94
Serial read : 7.83.203.94
Serial read : 7.160.203.94
Serial read : 7.85.203.94
Serial read : 7.87.203.94
Serial read : 7.162.203.94
Serial read : 7.89.203.94
Serial read : 7.164.203.94
Serial read : 7.91.203.94
Serial read : 7.166.203.94
Serial read : 7.93.203.94
Serial read : 7.95.203.94
Serial read : 7.168.203.94
Serial read : 7.97.203.94
Serial read : 7.170.203.94
Serial read : 7.99.203.94
Serial read : 7.101.203.94
Serial read : 7.172.203.94
Serial read : 7.103.203.94
Serial read : 7.174.203.94
Serial read : 7.105.203.94
Serial read : 7.176.203.94
Serial read : 7.107.203.94
Serial read : 7.178.203.94
Serial read : 7.109.203.94
Serial read : 7.180.203.94
Serial read : 7.111.203.94
Serial read : 7.182.203.94
Serial read : 7.184.203.94
Serial read : 7.113.203.94
Serial read : 7.186.203.94
Serial read : 7.115.203.94
Serial read : 7.188.203.94
Serial read : 7.117.203.94
Serial read : 7.190.203.94
Serial read : 7.119.203.94
Serial read : 7.192.203.94
Serial read : 7.121.203.94
Serial read : 7.194.203.94
Serial read : 7.123.203.94
Serial read : 7.196.203.94
Serial read : 7.125.203.94
Serial read : 7.198.203.94
Serial read : 7.127.203.94
Serial read : 7.200.203.94
Serial read : 7.129.203.94
Serial read : 7.202.203.94
Serial read : 7.131.203.94
Serial read : 7.133.203.94
Serial read : 7.135.203.94
Serial read : 7.204.203.94
Serial read : 7.137.203.94
Serial read : 7.206.203.94
Serial read : 7.139.203.94
Serial read : 7.208.203.94
Serial read : 7.141.203.94
Serial read : 7.210.203.94
Serial read : 7.143.203.94
Serial read : 7.212.203.94
Serial read : 7.145.203.94
Serial read : 7.214.203.94
Serial read : 7.147.203.94
Serial read : 7.216.203.94
Serial read : 7.218.203.94
Serial read : 7.149.203.94
Serial read : 7.220.203.94
Serial read : 7.151.203.94
Serial read : 7.222.203.94
Serial read : 7.153.203.94
Serial read : 7.155.203.94
Serial read : 7.224.203.94
Serial read : 7.226.203.94
Serial read : 7.157.203.94
Serial read : 7.228.203.94
Serial read : 7.159.203.94
Serial read : 7.230.203.94
Serial read : 7.161.203.94
Serial read : 7.163.203.94
Serial read : 7.232.203.94
Serial read : 7.234.203.94
Serial read : 7.165.203.94
Serial read : 7.236.203.94
Serial read : 7.167.203.94
Serial read : 7.238.203.94
Serial read : 7.169.203.94
Serial read : 7.240.203.94
Serial read : 7.171.203.94
Serial read : 7.173.203.94
Serial read : 7.175.203.94
Serial read : 7.242.203.94
Serial read : 7.177.203.94
Serial read : 7.244.203.94
Serial read : 7.179.203.94
Serial read : 7.246.203.94
Serial read : 7.181.203.94
Serial read : 7.248.203.94
Serial read : 7.183.203.94
Serial read : 7.250.203.94
Serial read : 7.185.203.94
Serial read : 7.187.203.94
Serial read : 7.252.203.94
Serial read : 7.189.203.94
Serial read : 7.191.203.94
Serial read : 7.254.203.94
Serial read : 7.193.203.94
Serial read : 7.195.203.94
Serial read : 7.197.203.94
Serial read : 7.0.203.94
Serial read : 7.199.203.94
Serial read : 7.2.203.94
Serial read : 7.201.203.94
Serial read : 7.4.203.94
Serial read : 7.203.203.94
Serial read : 7.205.203.94
Serial read : 7.6.203.94
Serial read : 7.207.203.94
Serial read : 7.8.203.94
Serial read : 7.209.203.94
Serial read : 7.10.203.94
Serial read : 7.12.203.94
Serial read : 7.211.203.94
Serial read : 7.14.203.94
Serial read : 7.213.203.94
Serial read : 7.16.203.94
Serial read : 7.215.203.94
Serial read : 7.18.203.94
Serial read : 7.20.203.94
Serial read : 7.22.203.94
Serial read : 7.24.203.94
Serial read : 7.217.203.94
Serial read : 7.26.203.94
Serial read : 7.219.203.94
Serial read : 7.221.203.94
Serial read : 7.28.203.94
Serial read : 7.223.203.94
Serial read : 7.30.203.94
Serial read : 7.225.203.94
Serial read : 7.32.203.94
Serial read : 7.227.203.94
Serial read : 7.34.203.94
Serial read : 7.229.203.94
Serial read : 7.36.203.94
Serial read : 7.231.203.94
Serial read : 7.38.203.94
Serial read : 7.233.203.94
Serial read : 7.40.203.94
Serial read : 7.235.203.94
Serial read : 7.42.203.94
Serial read : 7.237.203.94
Serial read : 7.44.203.94
Serial read : 7.46.203.94
Serial read : 7.239.203.94
Serial read : 7.48.203.94
Serial read : 7.241.203.94
Serial read : 7.50.203.94
Serial read : 7.243.203.94
Serial read : 7.52.203.94
Serial read : 7.245.203.94
Serial read : 7.247.203.94
Serial read : 7.249.203.94
Serial read : 7.251.203.94
Serial read : 7.54.203.94
Serial read : 7.253.203.94
Serial read : 7.56.203.94
Serial read : 7.255.203.94
Serial read : 7.58.203.94
Serial read : 7.60.203.94
Serial read : 7.1.203.94
Serial read : 7.3.203.94
Serial read : 7.5.203.94
Serial read : 7.62.203.94
Serial read : 7.7.203.94
Serial read : 7.64.203.94
Serial read : 7.9.203.94
Serial read : 7.66.203.94
Serial read : 7.11.203.94
Serial read : 7.68.203.94
Serial read : 7.70.203.94
Serial read : 7.13.203.94
Serial read : 7.72.203.94
Serial read : 7.15.203.94
Serial read : 7.74.203.94
Serial read : 7.17.203.94
Serial read : 7.19.203.94
Serial read : 7.76.203.94
Serial read : 7.21.203.94
Serial read : 7.78.203.94
Serial read : 7.23.203.94
Serial read : 7.80.203.94
Serial read : 7.25.203.94
Serial read : 7.82.203.94
Serial read : 7.84.203.94
Serial read : 7.86.203.94
Serial read : 7.27.203.94
Serial read : 7.29.203.94
Serial read : 7.88.203.94
Serial read : 7.31.203.94
Serial read : 7.33.0.0
Serial read : 7.35.203.94
Serial read : 7.90.203.94
